description,category
spotify subscription,Entertainment
vegetables and fruits,Groceries
uber to downtown,Transport
cable tv bill,Utilities
textbook purchase,Education
room rent,Rent
gas bill february,Utilities
semester fee,Education
breakfast with colleague,Food
grocery delivery,Groceries
train to station,Transport
bus fare for trip,Transport
gym membership,Health
bus to office,Transport
dinner at dhaba,Food
course fee payment,Education
water bill september,Utilities
movie popcorn,Entertainment
hospital visit,Health
quick bite at hotel,Food
online doctor consultation,Health
bus to market,Transport
tuition fee,Education
rent for november,Rent
gaming subscription,Entertainment
online course subscription,Education
auto to hospital,Transport
paid tuition fee,Education
fuel refill for scooter,Transport
vegetables from market,Groceries
monthly rent april,Rent
gym renewal payment,Health
rent payment may,Rent
medicine purchase,Health
quick bite at hotel,Food
house rent payment,Rent
bus to station,Transport
movie night at dominos,Entertainment
vegetables and fruits,Groceries
house rent payment,Rent
fuel for bike,Transport
health checkup,Health
apartment rent,Rent
bus to college,Transport
biryani from dominos,Food
notebook and pens,Education
rent payment may,Rent
streaming service payment,Entertainment
spotify subscription,Entertainment
internet bill,Utilities
course fee payment,Education
paid spotify subscription,Entertainment
diesel refill for car,Transport
health checkup,Health
spotify subscription,Entertainment
medical checkup,Health
doctor consultation,Health
lunch at kfc,Food
tuition fee,Education
concert tickets purchase,Entertainment
snacks from mcdonalds,Food
coffee at cafe,Food
movie night at burger king,Entertainment
notebook and pens purchase,Education
bought dal and coke,Groceries
internet bill,Utilities
power bill march,Utilities
dinner at canteen,Food
monthly rent june,Rent
gym membership,Health
grocery from food court,Groceries
ordered biryani online,Food
supermarket vegetables,Groceries
paid online course fee,Education
bought apples and milk,Groceries
bought rice and oil,Groceries
auto to office,Transport
apartment rent,Rent
fruits and vegetables,Groceries
train to delhi,Transport
cinema tickets at hotel,Entertainment
internet bill,Utilities
lunch at bistro,Food
power bill september,Utilities
movie at pizzeria,Entertainment
snacks from subway,Food
postpaid mobile bill,Utilities
mobile postpaid bill,Utilities
bought dal and fries,Groceries
water bill december,Utilities
semester fee,Education
pizza with rahul and ananya,Food
monthly rent october,Rent
breakfast from food court,Food
movie streaming subscription,Entertainment
bought rice and coke,Groceries
rent payment november,Rent
diesel for scooter,Transport
ola cab to hospital,Transport
milk and bread,Groceries
petrol refill,Transport
grocery delivery order,Groceries
movie tickets,Entertainment
burger and fries at cafe,Food
cable tv recharge,Utilities
grocery items from restaurant,Groceries
paid monthly rent,Rent
monthly apartment rent,Rent
water bill august,Utilities
online course subscription,Education
pharmacy bill,Health
electricity bill october,Utilities
movie night at pvr,Entertainment
netflix subscription,Entertainment
course fee payment,Education
course fee payment,Education
grocery from bigbazaar,Groceries
new earphones purchase,Entertainment
paid monthly rent,Rent
milk and bread,Groceries
streaming service payment,Entertainment
vegetables and fruits,Groceries
rent for april,Rent
fuel for bike,Transport
quick bite at starbucks,Food
cable tv bill,Utilities
gym renewal,Health
dentist appointment,Health
streaming service payment,Entertainment
pharmacy bill,Health
power bill august,Utilities
ordered biryani online,Food
mobile bill,Utilities
breakfast from food court,Food
tuition fees for semester,Education
grocery delivery,Groceries
cab to railway station,Transport
prime video payment,Entertainment
lunch at college canteen,Food
cable tv bill,Utilities
gas bill april,Utilities
bus to market,Transport
breakfast with parents,Food
fitness class,Health
paid hostel rent,Rent
cab to mall,Transport
electricity bill february,Utilities
consultation with dentist,Health
fruits and vegetables,Groceries
vegetables and fruits,Groceries
movie tickets weekend,Entertainment
house rent payment,Rent
monthly water bill,Utilities
cinema tickets at restaurant,Entertainment
hospital visit,Health
electricity bill april,Utilities
notebook and pens,Education
online doctor appointment,Health
coffee and burger,Food
stationery for college,Education
paid subscription netflix,Entertainment
room rent,Rent
diesel for car,Transport
train to work,Transport
gym renewal,Health
medical checkup,Health
petrol refill,Transport
dinner at dominos,Food
train ticket home,Transport
house rent payment,Rent
tuition fee,Education
prime video payment,Entertainment
snacks from store,Food
electricity bill october,Utilities
ate salad at cafe coffee day,Food
yoga class,Health
netflix subscription,Entertainment
yoga class,Health
online course subscription,Education
ordered biryani online,Food
weekly groceries shopping,Groceries
paid monthly rent,Rent
coffee and sandwich at cafe,Food
wifi payment,Utilities
tuition fee,Education
power bill may,Utilities
auto ride to market,Transport
bought vegetables and fruits,Groceries
fuel for scooter,Transport
metro ride to work,Transport
birthday dinner with friends,Food
bought salad and coffee,Groceries
educational course,Education
pharmacy bill,Health
online doctor consultation,Health
gaming subscription,Entertainment
yoga class payment,Health
fruits and vegetables,Groceries
study material,Education
uber to airport,Transport
internet broadband bill,Utilities
milk and bread,Groceries
concert tickets,Entertainment
bought salad and juice,Groceries
rent for october,Rent
train to home,Transport
house rent payment,Rent
taxi to airport,Transport
online course subscription,Education
snacks from cafe coffee day,Food
online course subscription,Education
movie tickets,Entertainment
study material,Education
breakfast at mcdonalds,Food
online doctor consultation,Health
ate pizza at dhaba,Food
apartment rent,Rent
monthly gym membership,Health
ola cab to airport,Transport
wifi payment,Utilities
hostel rent,Rent
